GEOID10,NAMELSAD10,GISJOIN,ACS19_COUNTY,ACS19_COUNTYA,ACS19_ALZJE001,ACS19_ALZLE001,ACS19_ALZLE002,ACS19_ALZLE003,ACS19_ALZJM001,ACS19_ALZLM001,ACS19_ALZLM002,ACS19_ALZLM003,PSH_20_geoid,PSH_20_total_units,PSH_20_pubhsg,PSH_20_HCV,PSH_20_modrehab,PSH_20_pbsec8,PSH_20_rap,PSH_20_s236,PSH_20_P202,PSH_20_P811,PSH_20_occhu_e,PSH_20_renterocchu_e,PSH_20_share_tot,PSH_20_share_rental,COUSUBFP10,COUSUBNS10,GEOID10_2,NAME10_2,NAMELSAD10_2,GISJOIN_2
34015501604,Census Tract 5016.04,G3400150501604,Gloucester County,15,2862,2560,2148,412,110,146,154,147,34015501604,166,104,62,0,0,0,0,0,0,2560,412,0.06484375,0.402912621,47250,882137,3401547250,Monroe,Monroe township,G340015047250
34015501606,Census Tract 5016.06,G3400150501606,Gloucester County,15,2636,2538,2429,109,85,109,118,69,34015501606,12,2,9,0,0,0,0,0,0,2538,109,0.004728132,0.110091743,47250,882137,3401547250,Monroe,Monroe township,G340015047250
34015501603,Census Tract 5016.03,G3400150501603,Gloucester County,15,2720,2633,2147,486,103,117,179,156,34015501603,74,7,68,0,0,0,0,0,0,2633,486,0.028104823,0.152263374,47250,882137,3401547250,Monroe,Monroe township,G340015047250
34015501608,Census Tract 5016.08,G3400150501608,Gloucester County,15,2213,2171,1853,318,118,126,141,104,34015501608,10,1,9,0,0,0,0,0,0,2171,318,0.004606172,0.031446541,47250,882137,3401547250,Monroe,Monroe township,G340015047250
34015501609,Census Tract 5016.09,G3400150501609,Gloucester County,15,1932,1822,1489,333,83,106,138,122,34015501609,53,0,53,0,0,0,0,0,0,1822,333,0.029088913,0.159159159,47250,882137,3401547250,Monroe,Monroe township,G340015047250
34011010600,Census Tract 106,G3400110010600,Cumberland County,11,1953,1832,1477,355,119,107,130,88,34011010600,14,0,14,0,0,0,0,0,0,1832,355,0.007641921,0.03943662,33120,882056,3401133120,Hopewell,Hopewell township,G340011033120
34011010301,Census Tract 103.01,G3400110010301,Cumberland County,11,1157,977,799,178,94,83,90,63,34011010301,6,0,6,0,0,0,0,0,0,977,178,0.006141249,0.033707865,39450,882060,3401139450,Lawrence,Lawrence township,G340011039450
34021002701,Census Tract 27.01,G3400210002701,Mercer County,21,1629,1531,797,734,57,73,137,144,34021002701,104,0,66,0,38,0,0,0,0,1531,734,0.067929458,0.141689373,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002904,Census Tract 29.04,G3400210002904,Mercer County,21,1968,1858,1570,288,36,107,140,101,34021002904,1,0,1,0,0,0,0,0,0,1858,288,0.000538213,0.003472222,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002602,Census Tract 26.02,G3400210002602,Mercer County,21,1693,1641,994,647,50,67,140,143,34021002602,29,0,29,0,0,0,0,0,0,1641,647,0.017672151,0.044822257,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002500,Census Tract 25,G3400210002500,Mercer County,21,2658,2485,1848,637,77,127,238,232,34021002500,35,0,33,0,1,0,0,0,0,2485,637,0.014084507,0.054945055,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002702,Census Tract 27.02,G3400210002702,Mercer County,21,3040,2851,1262,1589,115,170,152,185,34021002702,438,0,117,0,225,0,96,0,0,2851,1589,0.153630305,0.27564506,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
34021002800,Census Tract 28,G3400210002800,Mercer County,21,2162,2162,1061,1101,108,108,243,246,34021002800,91,0,90,0,1,0,0,0,0,2162,1101,0.042090657,0.082652134,29310,882127,3402129310,Hamilton,Hamilton township,G340021029310
