"","GISJOIN","count","name","county","total_units","total_pct_occupied","total_occupied","total_pct_reported","total_reported","total_months_since_report","total_people_reporting","total_people_per_unit","total_rent_per_month","total_spending_per_month","total_hh_income","total_person_income","total_pct_lt5k","total_pct_5k_lt10k","total_pct_10k_lt15k","total_pct_15k_lt20k","total_pct_ge20k","total_pct_wage_major","total_pct_welfare_major","total_pct_other_major","total_pct_median","total_pct_lt50_median","total_pct_lt30_median","total_pct_2adults","total_pct_1adult","total_pct_female_head","total_pct_female_head_child","total_pct_disabled_lt62","total_pct_disabled_ge62","total_pct_disabled_all","total_pct_lt24_head","total_pct_age25_50","total_pct_age51_61","total_pct_age62plus","total_pct_age85plus","total_pct_minority","total_pct_black_nonhsp","total_pct_native_american_nonhsp","total_pct_asian_pacific_nonhsp","total_pct_white_nothsp","total_pct_black_hsp","total_pct_wht_hsp","total_pct_oth_hsp","total_pct_hispanic","total_pct_multi","total_months_waiting","total_months_from_movein","total_pct_utility_allow","total_pct_lt5kave_util_allow","pg2_units","pg2_pct_occupied","pg2_occupied_units","pg2_pct_reported","pg2_reported_units","pg2_months_since_report","pg2_people_reporting","pg2_people_per_unit","pg2_rent_per_month","pg2_spending_per_month","pg2_hh_income","pg2_person_income","pg2_pct_lt5k","pg2_pct_5k_lt10k","pg2_pct_10k_lt15k","pg2_pct_15k_lt20k","pg2_pct_ge20k","pg2_pct_wage_major","pg2_pct_welfare_major","pg2_pct_other_major","pg2_pct_median","pg2_pct_lt50_median","pg2_pct_lt30_median","pg2_pct_2adults","pg2_pct_1adult","pg2_pct_female_head","pg2_pct_female_head_child","pg2_pct_disabled_lt62","pg2_pct_disabled_ge62","pg2_pct_disabled_all","pg2_pct_lt24_head","pg2_pct_age25_50","pg2_pct_age51_61","pg2_pct_age62plus","pg2_pct_age85plus","pg2_pct_minority","pg2_pct_black_nonhsp","pg2_pct_native_american_nonhsp","pg2_pct_asian_pacific_nonhsp","pg2_pct_white_nothsp","pg2_pct_black_hsp","pg2_pct_wht_hsp","pg2_pct_oth_hsp","pg2_pct_hispanic","pg2_pct_multi","pg2_months_waiting","pg2_months_from_movein","pg2_pct_utility_allow","pg2_pct_lt5kave_util_allow","pg2_pct_bed1","pg2_pct_bed2","pg2_pct_bed3","pg2_pct_overhoused","pg2_tpoverty","pg2_tminority","pg2_tpct_ownsfd","pg3_units","pg3_pct_occupied","pg3_occupied_units","pg3_pct_reported","pg3_reported_units","pg3_months_since_report","pg3_people_reporting","pg3_people_per_unit","pg3_rent_per_month","pg3_spending_per_month","pg3_hh_income","pg3_person_income","pg3_pct_lt5k","pg3_pct_5k_lt10k","pg3_pct_10k_lt15k","pg3_pct_15k_lt20k","pg3_pct_ge20k","pg3_pct_wage_major","pg3_pct_welfare_major","pg3_pct_other_major","pg3_pct_median","pg3_pct_lt50_median","pg3_pct_lt30_median","pg3_pct_2adults","pg3_pct_1adult","pg3_pct_female_head","pg3_pct_female_head_child","pg3_pct_disabled_lt62","pg3_pct_disabled_ge62","pg3_pct_disabled_all","pg3_pct_lt24_head","pg3_pct_age25_50","pg3_pct_age51_61","pg3_pct_age62plus","pg3_pct_age85plus","pg3_pct_minority","pg3_pct_black_nonhsp","pg3_pct_native_american_nonhsp","pg3_pct_asian_pacific_nonhsp","pg3_pct_white_nothsp","pg3_pct_black_hsp","pg3_pct_wht_hsp","pg3_pct_oth_hsp","pg3_pct_hispanic","pg3_pct_multi","pg3_months_waiting","pg3_months_from_movein","pg3_pct_utility_allow","pg3_pct_lt5kave_util_allow","pg4_units","pg4_pct_occupied","pg4_occupied_units","pg4_pct_reported","pg4_reported_units","pg4_months_since_report","pg4_people_reporting","pg4_people_per_unit","pg4_rent_per_month","pg4_spending_per_month","pg4_hh_income","pg4_person_income","pg4_pct_lt5k","pg4_pct_5k_lt10k","pg4_pct_10k_lt15k","pg4_pct_15k_lt20k","pg4_pct_ge20k","pg4_pct_wage_major","pg4_pct_welfare_major","pg4_pct_other_major","pg4_pct_median","pg4_pct_lt50_median","pg4_pct_lt30_median","pg4_pct_2adults","pg4_pct_1adult","pg4_pct_female_head","pg4_pct_female_head_child","pg4_pct_disabled_lt62","pg4_pct_disabled_ge62","pg4_pct_disabled_all","pg4_pct_lt24_head","pg4_pct_age25_50","pg4_pct_age51_61","pg4_pct_age62plus","pg4_pct_age85plus","pg4_pct_minority","pg4_pct_black_nonhsp","pg4_pct_native_american_nonhsp","pg4_pct_asian_pacific_nonhsp","pg4_pct_white_nothsp","pg4_pct_black_hsp","pg4_pct_wht_hsp","pg4_pct_oth_hsp","pg4_pct_hispanic","pg4_pct_multi","pg4_months_waiting","pg4_months_from_movein","pg4_pct_utility_allow","pg4_pct_lt5kave_util_allow","pg5_units","pg5_pct_occupied","pg5_occupied_units","pg5_pct_reported","pg5_reported_units","pg5_months_since_report","pg5_people_reporting","pg5_people_per_unit","pg5_rent_per_month","pg5_spending_per_month","pg5_hh_income","pg5_person_income","pg5_pct_lt5k","pg5_pct_5k_lt10k","pg5_pct_10k_lt15k","pg5_pct_15k_lt20k","pg5_pct_ge20k","pg5_pct_wage_major","pg5_pct_welfare_major","pg5_pct_other_major","pg5_pct_median","pg5_pct_lt50_median","pg5_pct_lt30_median","pg5_pct_2adults","pg5_pct_1adult","pg5_pct_female_head","pg5_pct_female_head_child","pg5_pct_disabled_lt62","pg5_pct_disabled_ge62","pg5_pct_disabled_all","pg5_pct_lt24_head","pg5_pct_age25_50","pg5_pct_age51_61","pg5_pct_age62plus","pg5_pct_age85plus","pg5_pct_minority","pg5_pct_black_nonhsp","pg5_pct_native_american_nonhsp","pg5_pct_asian_pacific_nonhsp","pg5_pct_white_nothsp","pg5_pct_black_hsp","pg5_pct_wht_hsp","pg5_pct_oth_hsp","pg5_pct_hispanic","pg5_pct_multi","pg5_months_waiting","pg5_months_from_movein","pg5_pct_utility_allow","pg5_pct_lt5kave_util_allow","pg7_units","pg7_reported","pg7_pct_reported","pg8_units","pg8_pct_occupied","pg8_occupied_units","pg8_pct_reported","pg8_reported_units","pg8_months_since_report","pg8_people_reporting","pg8_people_per_unit","pg8_rent_per_month","pg8_spending_per_month","pg8_hh_income","pg8_person_income","pg8_pct_lt5k","pg8_pct_5k_lt10k","pg8_pct_10k_lt15k","pg8_pct_15k_lt20k","pg8_pct_ge20k","pg8_pct_wage_major","pg8_pct_welfare_major","pg8_pct_other_major","pg8_pct_median","pg8_pct_lt50_median","pg8_pct_lt30_median","pg8_pct_2adults","pg8_pct_1adult","pg8_pct_female_head","pg8_pct_female_head_child","pg8_pct_disabled_lt62","pg8_pct_disabled_ge62","pg8_pct_disabled_all","pg8_pct_lt24_head","pg8_pct_age25_50","pg8_pct_age51_61","pg8_pct_age62plus","pg8_pct_age85plus","pg8_pct_minority","pg8_pct_black_nonhsp","pg8_pct_native_american_nonhsp","pg8_pct_asian_pacific_nonhsp","pg8_pct_white_nothsp","pg8_pct_black_hsp","pg8_pct_wht_hsp","pg8_pct_oth_hsp","pg8_pct_hispanic","pg8_pct_multi","pg8_months_waiting","pg8_months_from_movein","pg8_pct_utility_allow","pg8_pct_lt5kave_util_allow","pg9_units","pg9_pct_occupied","pg9_occupied_units","pg9_pct_reported","pg9_reported_units","pg9_months_since_report","pg9_people_reporting","pg9_people_per_unit","pg9_rent_per_month","pg9_spending_per_month","pg9_hh_income","pg9_person_income","pg9_pct_lt5k","pg9_pct_5k_lt10k","pg9_pct_10k_lt15k","pg9_pct_15k_lt20k","pg9_pct_ge20k","pg9_pct_wage_major","pg9_pct_welfare_major","pg9_pct_other_major","pg9_pct_median","pg9_pct_lt50_median","pg9_pct_lt30_median","pg9_pct_2adults","pg9_pct_1adult","pg9_pct_female_head","pg9_pct_female_head_child","pg9_pct_disabled_lt62","pg9_pct_disabled_ge62","pg9_pct_disabled_all","pg9_pct_lt24_head","pg9_pct_age25_50","pg9_pct_age51_61","pg9_pct_age62plus","pg9_pct_age85plus","pg9_pct_minority","pg9_pct_black_nonhsp","pg9_pct_native_american_nonhsp","pg9_pct_asian_pacific_nonhsp","pg9_pct_white_nothsp","pg9_pct_black_hsp","pg9_pct_wht_hsp","pg9_pct_oth_hsp","pg9_pct_hispanic","pg9_pct_multi","pg9_months_waiting","pg9_months_from_movein","pg9_pct_utility_allow","pg9_pct_lt5kave_util_allow"
"99","3400523850",2,"Florence Township","005",94,92.4468085106383,86.9,91.4893617021277,86,7,202,2.34883720930233,612.860465116279,908.744186046512,28729.0930232558,12057,3.76744186046512,4.88372093023256,28.3023255813953,12.5813953488372,51.093023255814,37.4883720930233,2.51162790697674,60.3720930232558,30.7906976744186,83.8139534883721,62.7906976744186,0,37.2093023255814,82.8139534883721,34.8372093023256,41.0232558139535,84.3023255813954,29.6511627906977,3.76744186046512,49.9767441860465,18.8604651162791,28.0232558139535,1.25581395348837,67.7209302325581,60.8139534883721,0,0,32.2790697674419,3.76744186046512,3.76744186046512,0,6.90697674418605,0,17.5813953488372,126.46511627907,87.4418604651163,114.976744186047,49,90,44.1,97.5056689342404,43,7,122,2.83720930232558,716,684,37230,13122,7,5,16,5,67,58,2,40,38,72,47,0,53,91,53,19,67,13,7,67,12,14,2,81,70,0,0,19,7,5,0,12,0,17,124,77,133,16,40,44,12,0,0,0,21,0.508095238095238,10.67,103.092783505155,11,6,23,2.09090909090909,595,1189,22891,10948,0,9,27,18,45,27,9,64,27,91,73,0,27,91,18,67,100,39,0,45,36,18,0,73,64,0,0,27,0,9,0,9,0,7,195,91,114,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.94,22.56,97.5177304964539,22,7,23,1.04545454545455,379,1099,15805,15118,0,0,50,27,23,0,0,100,21,100,91,0,0,64,0,100,100,96,0,9,27,64,0,27,27,0,0,73,0,0,0,0,0,0,110,100,44
"100","3400529010",1,"Hainesport Township","005",5,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101","3400542060",1,"Lumberton Township","005",123,96,118.08,101.626016260163,125,6,159,1.272,478,879,21071,16565,0,0,22,30,48,6,0,92,27,97,70,0,10,74,10,42,15,16,0,10,6,85,20,29,20,1,2,64,1,4,2,6,2,29,121,30,109,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.96,35.52,106.981981981982,38,6,67,1.76315789473684,528,1190,20845,11822,0,0,33,28,39,21,0,74,25,92,79,0,34,87,34,42,84,39,0,32,18,50,3,71,58,3,0,29,0,8,3,11,5,29,130,100,109,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0.96,82.56,105.377906976744,87,6,92,1.05747126436782,457,744,21170,20019,0,0,17,31,52,0,0,100,27,99,67,0,0,68,0,0,0,0,0,0,0,100,28,10,3,0,2,79,1,2,1,5,1,0,117,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102","3400543740",1,"Maple Shade Township","005",98,97,95.06,103.061224489796,101,6,173,1.71287128712871,512,1189,21605,12613,4,9,33,12,42,37,2,58,25,93,73,0,26,78,25,43,85,35,3,40,31,27,1,79,57,2,0,21,6,12,2,20,3,16,110,96,109,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.97,95.06,106.248685041027,101,6,173,1.71287128712871,512,1189,21605,12613,4,9,33,12,42,37,2,58,25,93,73,0,26,78,25,43,85,35,3,40,31,27,1,79,57,2,0,21,6,12,2,20,3,16,110,96,109,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103","3400545120",1,"Medford Township","005",46,88,40.48,91.304347826087,42,4,82,1.95238095238095,431,1118,18662,9558,12,2,41,7,37,26,2,69,21,95,74,2,38,76,38,54,100,37,5,40,38,17,0,79,64,0,0,17,0,12,2,14,0,52,103,93,128,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.97,36.86,105.805751492132,39,4,79,2.02564102564103,440,1189,19125,9441,13,3,37,8,39,28,3,67,22,95,72,3,41,82,41,50,100,34,3,38,41,18,0,85,69,0,0,15,0,13,3,15,0,52,108,100,128,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104","3400545210",1,"Medford Lakes Borough","005",1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"105","3400547880",1,"Moorestown Township","005",64,94,60.16,96.875,62,5,92,1.48387096774194,434,893,17586,11851,5,0,46,16,32,21,0,69,21,94,84,2,16,81,13,47,70,43,3,27,21,48,5,55,44,2,2,31,2,2,5,8,0,9,156,97,110,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.97,18.43,103.092783505155,19,7,38,2,626,1189,24293,12147,0,0,37,11,53,37,0,63,28,89,74,5,26,79,26,33,86,34,5,42,16,37,5,74,63,0,0,26,5,5,0,11,0,9,136,100,137,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.95,39.9,102.756892230576,41,4,52,1.26829268292683,359,778,15058,11873,8,0,50,19,22,15,0,73,19,95,88,0,12,80,7,50,65,48,2,17,24,56,5,46,37,2,0,32,0,0,7,7,0,0,170,100,97,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106","3400548900",1,"Mount Holly Township","005",57,95,54.15,100,57,6,145,2.54385964912281,510,1178,20158,7924,5,7,32,23,32,23,7,68,21,95,81,4,46,79,39,43,80,28,2,47,25,26,0,84,61,0,2,16,5,16,0,21,2,20,113,93,153,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.95,54.15,105.263157894737,57,6,145,2.54385964912281,510,1178,20158,7924,5,7,32,23,32,23,7,68,21,95,81,4,46,79,39,43,80,28,2,47,25,26,0,84,61,0,2,16,5,16,0,21,2,20,113,93,153,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"107","3400549020",2,"Mount Laurel Township","005",75,93.44,70.08,100,75,7,190,2.53333333333333,563,1142,24091,9509,9,4,20,11,55,37,3,59,25,95,67,0,52,87,49,38,86,23,0,60,21,19,0,91,81,1,3,9,0,5,0,5,3,35,129,95,163,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.942676056338028,66.93,106.080980128492,71,6,186,2.61971830985915,575,1189,24624,9399,10,4,19,9,59,39,3,56,26,94,65,0,55,86,52,36,83,22,0,62,21,17,0,93,85,1,1,7,0,6,0,6,3,35,132,100,163,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"108","3400553070",2,"North Hanover Township","005",24,88.1666666666667,21.16,95.8333333333333,23,7,49,2.1304347826087,638,947,26423,12402,5,0,14,14,68,52,0,43,30,83,48,4,35,70,35,20,75,24,0,48,17,35,0,65,43,0,4,17,0,17,0,17,0,0,250,100,92,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.91,19.11,109.89010989011,21,7,47,2.23809523809524,654,923,27125,12120,5,0,10,15,70,52,0,43,31,81,48,5,38,71,38,20,67,21,0,52,19,29,0,67,43,0,5,14,0,19,0,19,0,0,252,100,86,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109","3400555800",1,"Palmyra Borough","005",18,97,17.46,100,18,5,46,2.55555555555556,553,1189,22594,8841,0,0,39,11,50,28,0,72,23,100,78,0,56,89,44,23,100,22,0,56,17,28,0,67,39,0,0,33,0,28,0,28,0,114,157,100,159,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.97,17.46,103.092783505155,18,5,46,2.55555555555556,553,1189,22594,8841,0,0,39,11,50,28,0,72,23,100,78,0,56,89,44,23,100,22,0,56,17,28,0,67,39,0,0,33,0,28,0,28,0,114,157,100,159,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"110","3400557480",1,"Pemberton Borough","005",9,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"111","3400557510",9,"Pemberton Township","005",336,84.4940476190476,283.9,88.9880952380952,299,6,674,2.25418060200669,629.558528428094,1185.72575250836,26097.1538461538,11586.2040133779,5.57190635451505,7.17056856187291,20.7090301003344,11.2408026755853,55.2508361204013,40.6789297658863,3.33110367892977,54.5785953177257,29.2107023411371,85.3377926421405,57.1404682274247,6.7190635451505,40.3444816053512,79.4648829431438,42.2073578595318,30.61872909699,62.7357859531773,21.8461538461538,0.959866220735786,51.9933110367893,19.1103678929766,27.9364548494983,1.2809364548495,63.6454849498328,46.1036789297659,0,3.20066889632107,36.3545150501672,6.21070234113712,8.1304347826087,0.959866220735786,14.3411371237458,8.1304347826087,17.3879598662207,81.1605351170569,98.5317725752508,84.0535117056856,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,0.794861111111111,171.69,105.42256392335,181,6,430,2.37569060773481,708.729281767956,1191.05524861878,29259.2375690608,12320,7.48618784530387,6.95580110497238,12.6298342541436,11.3977900552486,62.0441988950276,46.3977900552486,5.50828729281768,46.646408839779,32.2430939226519,79.1160220994475,48.7348066298343,2.80110497237569,45.9834254143646,73.6519337016575,42.2486187845304,27.3812154696133,57.1933701657459,18.4309392265193,0.933701657458563,54.7900552486188,19.0883977900553,24.767955801105,1.46408839779006,63.7403314917127,48.878453038674,0,1.46408839779006,36.2596685082873,6.44198895027624,5.50828729281768,0.933701657458563,13.3977900552486,6.44198895027624,17.3149171270718,61,97.1988950276243,100.237569060773,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.94,112.8,104.609929078014,118,6,244,2.06779661016949,509,1177,21246,10275,3,7,33,12,45,32,0,66,24,95,69,14,32,88,42,38,68,27,2,47,19,32,0,63,41,0,5,37,5,12,0,17,10,0,113,100,60,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"112","3400563510",1,"Riverside Township","005",14,97,13.58,100,14,8,23,1.64285714285714,459,995,18589,11315,0,14,43,0,43,21,0,79,22,100,71,0,7,79,7,75,100,61,0,36,21,43,0,50,36,0,0,50,7,7,0,14,0,0,129,79,110,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.97,10.67,103.092783505155,11,7,20,1.81818181818182,509,1189,20528,11290,0,9,36,0,55,27,0,73,24,100,64,0,9,100,9,67,100,55,0,27,27,45,0,64,45,0,0,36,9,9,0,18,0,0,135,100,110,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"113","3400563660",1,"Riverton Borough","005",2,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"114","3400566810",1,"Shamong Township","005",2,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"115","3400568610",2,"Southampton Township","005",3,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"116","3400569990",1,"Springfield Township","005",1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
